position,temperature,humidity,noice,time,createdAt,updatedAt,__v
Malabe,29.8,92,51.6,2025-04-07 15:34:27.711,2025-04-07 15:34:27.711,2025-04-07 15:34:27.711,0
Malabe,29.8,92,51.6,2025-04-07 15:39:29.113,2025-04-07 15:39:29.113,2025-04-07 15:39:29.113,0
Malabe,29.8,92,51.6,2025-04-07 15:44:30.428,2025-04-07 15:44:30.428,2025-04-07 15:44:30.428,0
Malabe,29.8,91,51.6,2025-04-07 15:49:34.888,2025-04-07 15:49:34.890,2025-04-07 15:49:34.890,0
Malabe,29.8,91,51.6,2025-04-07 15:54:37.118,2025-04-07 15:54:37.119,2025-04-07 15:54:37.119,0
Malabe,29.8,91,51.6,2025-04-07 15:59:38.461,2025-04-07 15:59:38.462,2025-04-07 15:59:38.462,0
Malabe,29.8,91,51.6,2025-04-07 16:04:39.880,2025-04-07 16:04:39.880,2025-04-07 16:04:39.880,0
Malabe,29.8,91,51.6,2025-04-07 16:09:41.189,2025-04-07 16:09:41.190,2025-04-07 16:09:41.190,0
Malabe,29.8,90,51.6,2025-04-07 16:14:42.661,2025-04-07 16:14:42.661,2025-04-07 16:14:42.661,0
Malabe,29.8,90,51.6,2025-04-07 16:19:47.301,2025-04-07 16:19:47.303,2025-04-07 16:19:47.303,0
Malabe,29.8,91,51.6,2025-04-07 16:24:49.671,2025-04-07 16:24:49.672,2025-04-07 16:24:49.672,0
Malabe,29.8,91,51.7,2025-04-07 16:29:50.952,2025-04-07 16:29:50.952,2025-04-07 16:29:50.952,0
Malabe,29.8,91,51.6,2025-04-07 16:34:52.332,2025-04-07 16:34:52.333,2025-04-07 16:34:52.333,0
Malabe,29.8,90,51.6,2025-04-07 16:39:53.795,2025-04-07 16:39:53.796,2025-04-07 16:39:53.796,0
Malabe,29.8,89,51.6,2025-04-07 16:44:55.372,2025-04-07 16:44:55.372,2025-04-07 16:44:55.372,0
Malabe,29.8,89,51.6,2025-04-07 16:49:56.693,2025-04-07 16:49:56.693,2025-04-07 16:49:56.693,0
Malabe,29.8,89,51.6,2025-04-07 16:54:57.992,2025-04-07 16:54:57.993,2025-04-07 16:54:57.993,0
Malabe,29.8,89,51.6,2025-04-07 16:59:59.569,2025-04-07 16:59:59.570,2025-04-07 16:59:59.570,0
Malabe,29.8,89,51.6,2025-04-07 17:05:00.896,2025-04-07 17:05:00.896,2025-04-07 17:05:00.896,0
Malabe,29.8,89,51.7,2025-04-07 17:10:02.198,2025-04-07 17:10:02.199,2025-04-07 17:10:02.199,0
Malabe,29.8,89,51.7,2025-04-07 17:15:03.574,2025-04-07 17:15:03.574,2025-04-07 17:15:03.574,0
Malabe,29.8,88,51.7,2025-04-07 17:20:05.027,2025-04-07 17:20:05.027,2025-04-07 17:20:05.027,0
Malabe,29.8,88,51.6,2025-04-07 17:25:06.711,2025-04-07 17:25:06.712,2025-04-07 17:25:06.712,0
Malabe,29.8,88,51.7,2025-04-07 17:30:08.057,2025-04-07 17:30:08.058,2025-04-07 17:30:08.058,0
Malabe,29.8,88,51.6,2025-04-07 17:35:09.397,2025-04-07 17:35:09.397,2025-04-07 17:35:09.397,0
Malabe,29.8,88,51.6,2025-04-07 17:40:10.901,2025-04-07 17:40:10.901,2025-04-07 17:40:10.901,0
Malabe,29.8,88,51.7,2025-04-07 17:45:12.290,2025-04-07 17:45:12.290,2025-04-07 17:45:12.290,0
Malabe,29.7,88,51.6,2025-04-07 17:50:13.614,2025-04-07 17:50:13.614,2025-04-07 17:50:13.614,0
Malabe,29.3,88,51.6,2025-04-07 17:55:15.094,2025-04-07 17:55:15.094,2025-04-07 17:55:15.094,0
Malabe,29.3,87,51.6,2025-04-07 18:00:20.202,2025-04-07 18:00:20.203,2025-04-07 18:00:20.203,0
Malabe,29.3,87,51.7,2025-04-07 18:05:25.524,2025-04-07 18:05:25.525,2025-04-07 18:05:25.525,0
Malabe,29.3,87,51.6,2025-04-07 18:10:27.475,2025-04-07 18:10:27.476,2025-04-07 18:10:27.476,0
Malabe,29.3,86,51.7,2025-04-07 18:15:28.875,2025-04-07 18:15:28.875,2025-04-07 18:15:28.875,0
Malabe,29.3,86,51.7,2025-04-07 18:20:30.235,2025-04-07 18:20:30.236,2025-04-07 18:20:30.236,0
Malabe,29.3,87,51.7,2025-04-07 18:25:31.800,2025-04-07 18:25:31.801,2025-04-07 18:25:31.801,0
Malabe,29.3,87,51.6,2025-04-07 18:30:33.161,2025-04-07 18:30:33.161,2025-04-07 18:30:33.161,0
Malabe,29.3,87,51.7,2025-04-07 18:35:34.734,2025-04-07 18:35:34.734,2025-04-07 18:35:34.734,0
Malabe,29.3,87,51.7,2025-04-07 18:40:36.082,2025-04-07 18:40:36.083,2025-04-07 18:40:36.083,0
Malabe,29.3,86,51.7,2025-04-07 18:45:37.437,2025-04-07 18:45:37.438,2025-04-07 18:45:37.438,0
Malabe,29.3,86,51.6,2025-04-07 18:50:38.832,2025-04-07 18:50:38.832,2025-04-07 18:50:38.832,0
Malabe,29.3,86,51.7,2025-04-07 18:55:40.277,2025-04-07 18:55:40.277,2025-04-07 18:55:40.277,0
Malabe,29.3,86,51.6,2025-04-07 19:00:41.524,2025-04-07 19:00:41.525,2025-04-07 19:00:41.525,0
Malabe,29.3,86,51.6,2025-04-07 19:05:42.784,2025-04-07 19:05:42.784,2025-04-07 19:05:42.784,0
Malabe,29.3,86,51.6,2025-04-07 19:10:44.050,2025-04-07 19:10:44.051,2025-04-07 19:10:44.051,0
Malabe,29.3,86,51.6,2025-04-07 19:15:49.090,2025-04-07 19:15:49.091,2025-04-07 19:15:49.091,0
Malabe,29.3,86,51.6,2025-04-07 19:20:50.862,2025-04-07 19:20:50.863,2025-04-07 19:20:50.863,0
Malabe,29.3,85,51.7,2025-04-07 19:25:52.342,2025-04-07 19:25:52.343,2025-04-07 19:25:52.343,0
Malabe,29.3,86,51.6,2025-04-07 19:30:53.771,2025-04-07 19:30:53.772,2025-04-07 19:30:53.772,0
Malabe,29.3,86,51.6,2025-04-07 19:35:58.799,2025-04-07 19:35:58.800,2025-04-07 19:35:58.800,0
Malabe,29.3,85,51.6,2025-04-07 19:41:04.137,2025-04-07 19:41:04.138,2025-04-07 19:41:04.138,0
Malabe,29.3,85,51.7,2025-04-07 19:46:06.130,2025-04-07 19:46:06.130,2025-04-07 19:46:06.130,0
Malabe,29.3,85,51.6,2025-04-07 19:51:07.535,2025-04-07 19:51:07.535,2025-04-07 19:51:07.535,0
Malabe,29.3,85,51.7,2025-04-07 19:56:09.035,2025-04-07 19:56:09.052,2025-04-07 19:56:09.052,0
Malabe,29.3,85,51.6,2025-04-07 20:01:10.469,2025-04-07 20:01:10.470,2025-04-07 20:01:10.470,0
Malabe,29.3,85,51.7,2025-04-07 20:06:11.777,2025-04-07 20:06:11.778,2025-04-07 20:06:11.778,0
Malabe,29.3,85,51.6,2025-04-07 20:11:13.040,2025-04-07 20:11:13.041,2025-04-07 20:11:13.041,0
Malabe,29.3,85,51.6,2025-04-07 20:16:14.311,2025-04-07 20:16:14.311,2025-04-07 20:16:14.311,0
Malabe,29.3,85,51.6,2025-04-07 20:21:15.568,2025-04-07 20:21:15.569,2025-04-07 20:21:15.569,0
Malabe,29.3,85,51.6,2025-04-07 20:26:16.843,2025-04-07 20:26:16.844,2025-04-07 20:26:16.844,0
